,Construction year,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Accessible for disabled people,Swimming pool,Energy class,Heating type,Double glazing,Price,Address,Covered parking spaces,Flood zone type,Neighbourhood or locality,Outdoor parking spaces,Garden surface,Terrace surface,Garden,Monthly charges
7470,1935.0,Good,,,170  m² square meters,40  m² square meters,,,4.0,1.0,,,Yes,,,,,,F,Gas,Yes,"€ 330,000  330000 €","Place Communale , 10A 1630  - Linkebeek",,,,,,,,
7471,1957.0,Good,3.0,Urban,190  m² square meters,38  m² square meters,Installed,16  m² square meters,3.0,1.0,1.0,2.0,,,,,,,C,Gas,Yes,"€ 339,000  339000 €",Hoogstraat 20 9340  - Lede,1.0,,Oost- Vlaanderen,3.0,700  m²  square meters,40  m²  square meters,,
7472,1975.0,As new,,,179  m² square meters,44  m² square meters,Installed,11  m² square meters,4.0,2.0,,2.0,,,,No,No,No,Not specified,Gas,Yes,"€ 349,000  349000 €",De Kleetlaan 4 1831  - Diegem,1.0,,,,50  m²  square meters,,,
7473,1904.0,Good,2.0,,324  m² square meters,,Installed,,6.0,3.0,3.0,3.0,Yes,No,Yes,No,No,No,G,Gas,Yes,"€ 650,000  650000 €",Avenue Louise 251 1050  - Ixelles,,,,,25  m²  square meters,,,
7474,2022.0,As new,3.0,,164  m² square meters,18  m² square meters,Hyper equipped,8  m² square meters,4.0,2.0,,2.0,,,,No,,No,Not specified,Gas,Yes,"€ 441,000  441000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Gent en omstreken,16.0,175  m²  square meters,15  m²  square meters,,
7475,2021.0,As new,2.0,Urban,101  m² square meters,42  m² square meters,,,2.0,1.0,,1.0,,,,Yes,,,Not specified,Gas,Yes,"€ 290,960  290960 €",Dirk Boutslaan 4 3000  - Leuven,,Non flood zone,,,,18  m²  square meters,,
7476,2021.0,As new,3.0,Urban,77  m² square meters,31  m² square meters,,,1.0,1.0,,1.0,,,,Yes,,,Not specified,Gas,Yes,"€ 235,225  235225 €",Dirk Boutslaan 4 3000  - Leuven,,Non flood zone,,,,15  m²  square meters,,
7477,,,,,,,,,,,,,,,,,,,Not specified,,,,"Roterijstraat, 202 8793  - Waregem",,,,,,,,
7478,2022.0,As new,4.0,Urban,81  m² square meters,,Hyper equipped,,1.0,1.0,,1.0,,No,,Yes,Yes,No,Not specified,,Yes,"€ 475,000  475000 €",Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,1.0,5  m²  square meters,14  m²  square meters,,
7479,2021.0,As new,3.0,Urban,139  m² square meters,50  m² square meters,,,3.0,1.0,,1.0,,,,Yes,,,Not specified,Gas,Yes,"€ 476,805  476805 €",Dirk Boutslaan 4 3000  - Leuven,,Non flood zone,,,,50  m²  square meters,,
7480,1981.0,Good,4.0,,165  m² square meters,47  m² square meters,Installed,10  m² square meters,4.0,2.0,2.0,3.0,Yes,,Yes,No,No,No,C,Fuel oil,Yes,"€ 810,000  810000 €",Avenue Reine Astrid 215 1410  - Waterloo,,Non flood zone,,5.0,5785  m²  square meters,,,
7481,2021.0,As new,3.0,Urban,174  m² square meters,,,,3.0,1.0,,1.0,,,,Yes,,,Not specified,Gas,Yes,"€ 602,500  602500 €",Dirk Boutslaan 4 3000  - Leuven,,Non flood zone,,,,123  m²  square meters,,
7482,1874.0,To renovate,2.0,,79  m² square meters,15  m² square meters,Semi equipped,,2.0,1.0,,1.0,,,,,,,G,,Yes,"Make an offer starting from  € 89,000  Make an offer starting from  89000 €",Avenue des Ardennes 1/02 4500  - Huy,,,,,51  m²  square meters,41  m²  square meters,,
7483,,To renovate,3.0,Urban,171  m² square meters,26  m² square meters,Semi equipped,13  m² square meters,3.0,1.0,1.0,1.0,,No,,No,No,No,F,,,"€ 109,000  109000 €",rue des Corettes 6880  - Bertrix,1.0,Non flood zone,Zone Centre Province du Luxembourg,1.0,32  m²  square meters,6  m²  square meters,,
7484,1890.0,To restore,,Urban,174  m² square meters,13  m² square meters,Not installed,,3.0,1.0,,1.0,Yes,,,,,,F,Gas,Yes,"Make an offer starting from  € 159,000  Make an offer starting from  159000 €",Route du Condroz 151 4550  - Nandrin,,,,,164  m²  square meters,14  m²  square meters,,
7485,1918.0,To renovate,4.0,,180  m² square meters,,,,3.0,1.0,,,,No,,,,,E,Fuel oil,Yes,"Make an offer starting from  € 175,000  Make an offer starting from  175000 €","Avenue de la Gare, 171 6840  - Neufchateau",,Non flood zone,,,,,,
7486,1953.0,To be done up,2.0,Urban,100  m² square meters,,Not installed,10  m² square meters,3.0,1.0,,2.0,,No,,No,No,No,F,,,"€ 165,000  165000 €",rue des Corettes 6880  - Bertrix,,Non flood zone,Zone Centre Province du Luxembourg,,70  m²  square meters,5  m²  square meters,,
7487,,Good,,,242  m² square meters,25  m² square meters,Semi equipped,,4.0,3.0,,3.0,,,,,,,D,Gas,Yes,"Make an offer starting from  € 190,000  Make an offer starting from  190000 €",Avenue des Ardennes 1/02 4500  - Huy,,,,,,,,
7488,1850.0,As new,3.0,,100  m² square meters,,Installed,12  m² square meters,2.0,1.0,,2.0,,,,,,,E,Gas,Yes,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",Avenuedes Ardennes 7d 4500  - Huy,,,,,620  m²  square meters,22  m²  square meters,,
7489,1961.0,To renovate,2.0,,125  m² square meters,23  m² square meters,Semi equipped,16  m² square meters,2.0,1.0,,1.0,,,,,,,D,Gas,Yes,"€ 199,000  199000 €",Kasteelstraat 1 1700  - Dilbeek,,Non flood zone,,1.0,68  m²  square meters,12  m²  square meters,,
7490,1930.0,As new,,,105  m² square meters,,USA hyper equipped,,3.0,1.0,,1.0,,,,,,,B,Fuel oil,Yes,"€ 250,000  250000 €",Rue Reine Astrid 26 1473  - Glabais,,,,,,20  m²  square meters,,
7491,1949.0,To be done up,2.0,,175  m² square meters,,Installed,,3.0,1.0,,2.0,Yes,,,,,,F,Gas,Yes,"€ 219,000  219000 €",Zuidlaan 2 9200  - Dendermonde,,Non flood zone,,2.0,70  m²  square meters,20  m²  square meters,,
7492,,To renovate,3.0,Countryside,116  m² square meters,19  m² square meters,Not installed,12  m² square meters,3.0,,1.0,2.0,,,Yes,,,,G,Fuel oil,Yes,"€ 225,000  225000 €",Chaussée de Mons 14 1400  - Nivelles,,,Hameau Sergent,1.0,,,Yes,
7493,1930.0,To be done up,3.0,,190  m² square meters,19  m² square meters,,11  m² square meters,3.0,2.0,,,,No,,,,,F,Fuel oil,Yes,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",Avenue du Condroz 1/0 4500  - Huy,1.0,Non flood zone,,,,,,
7494,1874.0,Good,3.0,,219  m² square meters,14  m² square meters,,9  m² square meters,3.0,1.0,,,,No,,,,,F,Gas,Yes,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",Avenue du Condroz 1/0 4500  - Huy,1.0,Non flood zone,,,,,,
7495,1980.0,Good,4.0,Fitted out,117  m² square meters,33  m² square meters,,8  m² square meters,3.0,1.0,,2.0,,,,,,,F,,Yes,"€ 274,000  274000 €",Grendelbaan 78 3590  - Diepenbeek,1.0,Non flood zone,,3.0,911  m²  square meters,,,
