,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
12835,To be done up,4.0,Urban,203  m² square meters,19  m² square meters,Not installed,3.0,1.0,1.0,1.0,Yes,No,,No,No,F,Fuel oil,"€ 339,000  339000 €",Galgstraat 83 1600  - St-Pieters-Leeuw,Non flood zone,,,
12836,Good,4.0,,193  m² square meters,,Installed,4.0,2.0,,2.0,,,,No,No,B,Gas,"€ 340,000  340000 €",,,1100  m²  square meters,120  m²  square meters,
12837,As new,3.0,Urban,242  m² square meters,74  m² square meters,Hyper equipped,4.0,1.0,,2.0,,No,Yes,No,No,D,Gas,"€ 349,000  349000 €",Stationstraat 32 9400  - Ninove,,,,
12838,As new,3.0,"Living area (residential, urban or rural)",160  m² square meters,,Hyper equipped,3.0,1.0,,2.0,,,,,,A,Pellet,"€ 345,000  345000 €",Rue Natalis 2 4020  - Liège,,,18  m²  square meters,Yes
12839,To renovate,2.0,Urban,268  m² square meters,,Semi equipped,8.0,1.0,,,,No,,No,,G,Gas,"€ 345,000  345000 €","Rue Picard (Gare Maritime), 7 1000  - Brussel",Non flood zone,,32  m²  square meters,
12840,Good,4.0,,152  m² square meters,38  m² square meters,Semi equipped,2.0,1.0,,2.0,,No,Yes,,,F,Fuel oil,"€ 345,000  345000 €",Edingsesteenweg 341 1755  - Kester,Non flood zone,,,Yes
12841,Good,2.0,,260  m² square meters,,Installed,4.0,,,2.0,Yes,No,,,,F,Gas,"€ 349,000  349000 €",Hulstedorp 18 8531  - Hulste,Non flood zone,465  m²  square meters,30  m²  square meters,
12842,To be done up,4.0,,117  m² square meters,,Semi equipped,4.0,1.0,1.0,2.0,Yes,No,Yes,,,C,Gas,"€ 349,000  349000 €",Chaussée de Marche 474 5101  - Erpent,,800  m²  square meters,,
12843,Good,4.0,"Living area (residential, urban or rural)",172  m² square meters,28  m² square meters,Semi equipped,4.0,,1.0,1.0,,,,No,No,D,Fuel oil,"€ 349,000  349000 €",,Non flood zone,70  m²  square meters,12  m²  square meters,
12844,Just renovated,3.0,,165  m² square meters,18  m² square meters,Not installed,3.0,1.0,1.0,2.0,Yes,,Yes,,,C,Gas,"Make an offer starting from  € 350,000  Make an offer starting from  350000 €",Grand' Route 69 A 1435  - Corbais,,,,Yes
12845,As new,3.0,Urban,93  m² square meters,32  m² square meters,USA hyper equipped,2.0,1.0,,1.0,,Yes,,No,No,D,Gas,"€ 350,000  350000 €","Mechelsestraat 107/2 , 29 1840  - Londerzeel",Non flood zone,60  m²  square meters,60  m²  square meters,
12846,,2.0,,302  m² square meters,,Semi equipped,6.0,1.0,2.0,4.0,Yes,,,,,C,Fuel oil,"€ 350,000  350000 €","Place Saint Arnould, 6 6830  - Bouillon",,,,
12847,Good,3.0,,151  m² square meters,40  m² square meters,Hyper equipped,3.0,1.0,,1.0,,No,Yes,,,C,Gas,"€ 350,000  350000 €",Edingsesteenweg 341 1755  - Kester,,,,Yes
12848,Good,4.0,,171  m² square meters,35  m² square meters,Installed,3.0,1.0,,2.0,Yes,,Yes,,,E,Fuel oil,"€ 350,000  350000 €","Route de Mons, 313 7130  - Binche (Waudrez)",,,,
12849,As new,4.0,Urban,198  m² square meters,28  m² square meters,,4.0,1.0,1.0,2.0,,,,,,E,Gas,"Make an offer starting from  € 350,000  Make an offer starting from  350000 €",Avenue reine Astrid 92 1310  - La Hulpe,,983  m²  square meters,49  m²  square meters,
12850,Good,4.0,,325  m² square meters,,Semi equipped,4.0,1.0,1.0,3.0,,,,Yes,,B,Fuel oil,,Golflaan 41 9830  - Sint-Martens-Latem,Non flood zone,,,
12851,Good,4.0,,325  m² square meters,,Semi equipped,4.0,1.0,1.0,3.0,,,,Yes,,B,Fuel oil,,Golflaan 41 9830  - Sint-Martens-Latem,Non flood zone,,,
12852,Good,4.0,,160  m² square meters,,Installed,4.0,1.0,,2.0,,,,,,B,Fuel oil,"€ 350,000  350000 €",Rue de la Libération 59 5580  - Rochefort,,,,Yes
12853,Just renovated,3.0,,180  m² square meters,,USA hyper equipped,4.0,1.0,,2.0,,No,Yes,No,,D,Gas,"€ 359,000  359000 €",Edingsesteenweg 341 1755  - Kester,Non flood zone,,,Yes
12854,Just renovated,3.0,,180  m² square meters,,USA hyper equipped,4.0,1.0,,2.0,,No,Yes,No,,D,Gas,"€ 359,000  359000 €",Edingsesteenweg 341 1755  - Kester,,,,Yes
12855,,3.0,,,,Installed,4.0,1.0,,2.0,Yes,,Yes,,,C,Gas,"€ 359,000  359000 €",Dr. Persoonslaan 15 b 2830  - Willebroek,Non flood zone,,,Yes
12856,To be done up,2.0,,210  m² square meters,41  m² square meters,Installed,5.0,1.0,,2.0,Yes,,,,,D,Gas,"€ 360,000  360000 €",Chaussée de Bruxelles 168 1410  - Waterloo,,150  m²  square meters,20  m²  square meters,
